question_id,document_id,document_name,question_type,expected_support,question,gold_chunk_ids,gold_pages,gold_answer_notes,verification_notes
EVAL_013,PROTO_002,CARE_STROKE,confusable,supported,"Was CARE_STROKE simply a smartphone application, or how was the intervention described?",PROTO_002_P001_C001;PROTO_002_P002_C002,1;2,"CARE_STROKE was described as a smartphone-enabled, carer-supported educational intervention for managing physical disabilities following stroke.",Manually verified from CARE_STROKE pages 1 and 2.
EVAL_014,PROTO_002,CARE_STROKE,structure_heavy,supported,What adverse events were specifically expected during the CARE_STROKE trial?,PROTO_002_P005_C002,5,"Expected adverse events included death from vascular causes, hospitalisation for post-stroke complications, and occurrence of a secondary stroke.",Manually verified from CARE_STROKE page 5.
EVAL_015,PROTO_002,CARE_STROKE,unsupported,unsupported,What proportion of CARE_STROKE participants achieved improved functional independence at the six-week assessment?,,,Insufficient Evidence,The protocol specifies functional outcome measurement at 6 weeks but does not report completed CARE_STROKE results.
EVAL_016,PROTO_002,CARE_STROKE,unsupported,unsupported,What were the final cost-effectiveness results of CARE_STROKE?,,,Insufficient Evidence,The protocol describes planned cost collection and cost-effectiveness evaluation but does not report final CARE_STROKE economic results.
EVAL_017,PROTO_003,INTEGRA,straightforward,supported,What HbA1c threshold was used to define poor glycaemic control for participants in INTEGRA?,PROTO_003_P001_C001;PROTO_003_P001_C002;PROTO_003_P003_C002,1;3,Poor glycaemic control was defined as HbA1c greater than 9%.,Manually verified from INTEGRA pages 1 and 3.
EVAL_018,PROTO_003,INTEGRA,straightforward,supported,How long was the coaching training programme provided to primary-care professionals in INTEGRA?,PROTO_003_P005_C001,5,Primary-care professionals participated in a 7-hour coaching training programme.,Manually verified from INTEGRA page 5.
EVAL_019,PROTO_003,INTEGRA,difficult,supported,How was the INTEGRA control group selected and matched to the intervention groups?,PROTO_003_P001_C002;PROTO_003_P005_C002,1;5,The control group was selected randomly from the SIDIAP database using patients meeting the study criteria with comparable sociodemographic and clinical characteristics to the intervention groups.,Manually verified from INTEGRA pages 1 and 5.
EVAL_020,PROTO_003,INTEGRA,difficult,supported,What total study sample was calculated to obtain statistical significance in INTEGRA?,PROTO_003_P008_C002,8,The final calculated sample was 648 study subjects.,Manually verified from INTEGRA page 8.
EVAL_021,PROTO_003,INTEGRA,confusable,supported,What key intervention component distinguished IG-1 from IG-2 in INTEGRA?,PROTO_003_P005_C001;PROTO_003_P005_C002;PROTO_003_P006_C003,5;6,"IG-1 included the monographic consultation, while IG-2 received the otherwise similar personalised intervention without the monographic consultation.",Manually verified from INTEGRA pages 5 and 6.
EVAL_022,PROTO_003,INTEGRA,structure_heavy,supported,"According to the INTEGRA study flowchart, which intervention groups included patient SMS phone messages?",PROTO_003_P006_C003,6,Both Intervention Group 1 and Intervention Group 2 included an intervention based on patient SMS phone messages.,Manually verified from the INTEGRA flowchart on page 6.
EVAL_023,PROTO_003,INTEGRA,unsupported,unsupported,What was the final reduction in HbA1c achieved by IG-1 compared with the control group in INTEGRA?,,,Insufficient Evidence,The protocol describes planned HbA1c comparisons but does not report a completed IG-1 versus control HbA1c result.
EVAL_024,PROTO_003,INTEGRA,unsupported,unsupported,What proportion of INTEGRA participants ultimately achieved the target HbA1c level?,,,Insufficient Evidence,The protocol discusses target HbA1c levels but does not report the final proportion of participants achieving them.
EVAL_025,PROTO_004,LISTEN,straightforward,supported,At what time points were LISTEN participants asked to complete study questionnaires?,PROTO_004_P001_C002;PROTO_004_P003_C001,1;3,Questionnaires were completed at baseline and repeated at 6 weeks and 3 months after randomisation.,Manually verified from LISTEN pages 1 and 3.
EVAL_026,PROTO_004,LISTEN,straightforward,supported,How could eligible participants be referred or self-refer into the LISTEN trial?,PROTO_004_P001_C002;PROTO_004_P002_C003;PROTO_004_P003_C002,1;2;3,Eligible participants could self-refer through the LISTEN website or be referred through long COVID services.,Manually verified from LISTEN recruitment evidence.
EVAL_027,PROTO_004,LISTEN,difficult,supported,What intervention support was offered to participants randomised to the LISTEN intervention?,PROTO_004_P001_C002,1,Participants were offered up to six one-to-one sessions with LISTEN-trained practitioners together with a co-designed digital resource and paper-based book.,Manually verified from the LISTEN abstract on page 1.
EVAL_028,PROTO_004,LISTEN,difficult,supported,What methods were planned for the LISTEN process evaluation?,PROTO_004_P003_C001,3,"The process evaluation involved implementation scales, interviews, and focus groups.",Manually verified from LISTEN page 3.
EVAL_029,PROTO_004,LISTEN,confusable,supported,Did LISTEN participants have to personally speak English or Welsh to be eligible?,PROTO_004_P003_C001,3,"No. Participants could be English or Welsh speakers, or they could have access to someone able to act as a translator.",Manually verified from LISTEN eligibility criteria on page 3.
EVAL_030,PROTO_004,LISTEN,structure_heavy,supported,"According to the LISTEN schedule of events, which participants completed the process-evaluation questionnaires?",PROTO_004_P004_C001;PROTO_004_P004_C002,4,Process-evaluation questionnaires were completed only by participants in the LISTEN intervention group.,Manually verified from the SPIRIT schedule notes on LISTEN page 4.
EVAL_031,PROTO_004,LISTEN,unsupported,unsupported,Did the LISTEN intervention ultimately improve participation compared with usual care?,,,Insufficient Evidence,The protocol describes planned effectiveness evaluation but does not report completed LISTEN trial results.
EVAL_032,PROTO_004,LISTEN,unsupported,unsupported,What were the final cost-effectiveness results of LISTEN?,,,Insufficient Evidence,The protocol describes planned economic evaluation but does not report final LISTEN cost-effectiveness results.
EVAL_033,PROTO_005,THP_TA,straightforward,supported,What two approaches to delivering the Thinking Healthy Programme were compared in the THP_TA trial?,PROTO_005_P001_C002,1,The trial compared technology-assisted THP delivered by peers with standard face-to-face THP delivered by trained health workers.,Manually verified from THP_TA page 1.
EVAL_034,PROTO_005,THP_TA,straightforward,supported,What was the unit of randomisation in THP_TA and how were clusters allocated between the trial arms?,PROTO_005_P001_C002;PROTO_005_P003_C002,1;3,The village cluster was the unit of randomisation. Seventy village clusters were allocated in a 1:1 ratio to the intervention and control arms.,Manually verified from THP_TA pages 1 and 3.
EVAL_035,PROTO_005,THP_TA,difficult,supported,"How was the primary outcome of THP_TA defined, when was it assessed, and which instrument was used?",PROTO_005_P001_C002,1,"The primary outcome was remission from major depressive episode at 3 months postnatal, measured using the SCID.",Manually verified from THP_TA page 1.
EVAL_036,PROTO_005,THP_TA,difficult,supported,How did THP_TA reduce the risk that outcome assessors would learn participants' treatment allocation?,PROTO_005_P006_C002,6,"Outcome assessors were masked to treatment allocation, participants were instructed not to disclose how they received the intervention, and any unmasking was recorded.",Manually verified from THP_TA page 6.
EVAL_037,PROTO_005,THP_TA,confusable,supported,"Was the PHQ-9 used as the THP_TA primary outcome measure, or what was it used to assess?",PROTO_005_P007_C003,7,"No. The PHQ-9 was used as a secondary outcome measure of depressive symptoms, assessed at 3 and 6 months postnatal.",Manually verified from THP_TA page 7.
EVAL_038,PROTO_005,THP_TA,structure_heavy,supported,"Who was responsible for detecting adverse events in THP_TA, and at what stages were they monitored?",PROTO_005_P005_C002,5,"The outcome assessment team monitored adverse events at 3 and 6 months postnatal, while LHWs or peers monitored them throughout intervention delivery in both arms.",Manually verified from THP_TA page 5.
EVAL_039,PROTO_005,THP_TA,unsupported,unsupported,Did technology-assisted peer-delivered THP ultimately demonstrate non-inferior depression remission compared with standard THP?,,,Insufficient Evidence,"The protocol describes the planned non-inferiority trial and cites results from earlier THP studies, but it does not report completed THP_TA non-inferiority results."
EVAL_040,PROTO_005,THP_TA,unsupported,unsupported,What were the final cost-effectiveness results of THP_TA?,,,Insufficient Evidence,The protocol describes planned cost-effectiveness analysis and ICER estimation but does not report completed THP_TA economic results.
